,Name,Rating,Review Count,Price,Address
0,Hammerheads,4.5,1323,$$,"921 Swan St, Louisville, KY 40204"
1,The Eagle,4.5,1507,$$,"1314 Bardstown Rd, Louisville, KY 40204"
2,Doc Crow's,4.0,2017,$$,"127 W Main St, Louisville, KY 40202"
3,North of Bourbon,4.5,132,$$,"935 Goss Ave, Louisville, KY 40217"
4,Oliver's Chop House & Bourbon Bar,4.5,3,,"4520 Poplar Level Rd, Derby City Gaming Hotel, Louisville, KY 40213"
5,Copper & Kings Rooftop Bar & Restaurant,4.5,118,$$,"1121 E Washington St, Copper and Kings, Louisville, KY 40206"
6,Decade Restaurant,5.0,4,,"1076 E. Washington, St 40206, Louisville, KY 40202"
7,Lou Lou on Market,4.5,55,,"812 E Market St, Louisville, KY 40206"
8,Perso,4.5,52,$$,"741 E Oak St, Louisville, KY 40203"
9,The Fat Lamb,4.5,300,$$$,"2011 Grinstead Dr, Ste 104, Louisville, KY 40204"
10,Nami Modern Korean Steakhouse,4.5,31,,"835 E Main St, Louisville, KY 40206"
11,Toasty's Tavern,4.5,146,$,"1258 S Shelby St, Louisville, KY 40203"
12,In Season,5.0,76,$$,"324 W Main St, Louisville, KY 40202"
13,Porch Kitchen & Bar,4.0,514,$$,"280 W Jefferson St, Louisville, KY 40202"
14,Sidebar At Whiskey Row,4.5,781,$$,"129 N 2nd St, Louisville, KY 40202"
15,Repeal Oak-Fired Steakhouse,4.5,365,$$$,"101 West Main St, Louisville, KY 40202"
16,La Bodeguita de Mima,4.5,670,$$,"725 E Market St, Louisville, KY 40202"
17,Louisville StrEatery,4.5,33,$$,"304 W Woodlawn Ave, Louisville, KY 40214"
18,CC's Kitchen,4.0,146,$$,"651 South 4th Street, Louisville, KY 40203"
19,Bourbon Craft House,4.5,2,,"937 Phillips Ln, Louisville, KY 40209"
20,The Black Italian,4.5,18,,"2009 Highland Ave, Louisville, KY 40204"
21,Oskar's Slider Bar,4.5,285,$$,"3799 Poplar Level Rd, Louisville, KY 40213"
22,The Village Market Food Hall,4.5,15,,"712 Brent Street, Louisville, KY 40204"
23,Against The Grain Public House ,4.0,1259,$$,"401 E Main St, Louisville, KY 40202"
